Asset Name;Asset Description;BrandSubbrand;Created;Copyright;Tags;Path to Assets;Archived;New Filename;fileextension;group;clientteam;assettype;assetsubtype;year;campaign;productgroup;product;productsize;productsubtype;productgender;numberofpeople;person;teammarks;gender;shottype;sport;assetstatus;market;platformrights;jobid;No Tags;No Date
G_12oz_LSE_Fc_GR_Angle_P_14_10439;;VML;2014-11-21;;;Desktop/_To Bynder/Product Renders/GTQ/12 Oz/G_12oz_LSE_Fc_GR_Angle_P_14_10439.png;0;G_12oz_LSE_Fc_GR_Angle_P_14_10439.png;;PepsiCo;Gatorade;;;2014;;;;;;;;;;;;;;;;;!!!No Tags Found!!!;
G_12oz_LSE_Fc_GR_P_14_10439;;VML;2014-11-21;;;Desktop/_To Bynder/Product Renders/GTQ/12 Oz/G_12oz_LSE_Fc_GR_P_14_10439.png;0;G_12oz_LSE_Fc_GR_P_14_10439.png;;PepsiCo;Gatorade;;;2014;;;;;;;;;;;;;;;;;!!!No Tags Found!!!;
G_12oz_LSE_Fr_GC_Angle_P_14_10312;;VML;2014-11-21;;;Desktop/_To Bynder/Product Renders/GTQ/12 Oz/G_12oz_LSE_Fr_GC_Angle_P_14_10312.png;0;G_12oz_LSE_Fr_GC_Angle_P_14_10312.png;;PepsiCo;Gatorade;;;2014;;;;;;;;;;;;;;;;;!!!No Tags Found!!!;
G_12oz_LSE_Fr_GC_P_14_10312;;VML;2014-11-21;;;Desktop/_To Bynder/Product Renders/GTQ/12 Oz/G_12oz_LSE_Fr_GC_P_14_10312.png;0;G_12oz_LSE_Fr_GC_P_14_10312.png;;PepsiCo;Gatorade;;;2014;;;;;;;;;;;;;;;;;!!!No Tags Found!!!;
G_12oz_LSE_Fr_GF_Angle_P_14_12251;;VML;2014-11-21;;;Desktop/_To Bynder/Product Renders/GTQ/12 Oz/G_12oz_LSE_Fr_GF_Angle_P_14_12251.png;0;G_12oz_LSE_Fr_GF_Angle_P_14_12251.png;;PepsiCo;Gatorade;;;2014;;;;;;;;;;;;;;;;;!!!No Tags Found!!!;
G_12oz_LSE_Fr_GF_P_14_12251;;VML;2014-11-21;;;Desktop/_To Bynder/Product Renders/GTQ/12 Oz/G_12oz_LSE_Fr_GF_P_14_12251.png;0;G_12oz_LSE_Fr_GF_P_14_12251.png;;PepsiCo;Gatorade;;;2014;;;;;;;;;;;;;;;;;!!!No Tags Found!!!;
G_12oz_LSE_Fr_RB_Angle_P_14_12216;;VML;2014-11-21;;;Desktop/_To Bynder/Product Renders/GTQ/12 Oz/G_12oz_LSE_Fr_RB_Angle_P_14_12216.png;0;G_12oz_LSE_Fr_RB_Angle_P_14_12216.png;;PepsiCo;Gatorade;;;2014;;;;;;;;;;;;;;;;;!!!No Tags Found!!!;
G_12oz_LSE_Fr_RB_P_14_12216;;VML;2014-11-21;;;Desktop/_To Bynder/Product Renders/GTQ/12 Oz/G_12oz_LSE_Fr_RB_P_14_12216.png;0;G_12oz_LSE_Fr_RB_P_14_12216.png;;PepsiCo;Gatorade;;;2014;;;;;;;;;;;;;;;;;!!!No Tags Found!!!;
G_12oz_LSE_Fr_RR_P_14_XXXXX;;VML;2014-11-21;;;Desktop/_To Bynder/Product Renders/GTQ/12 Oz/G_12oz_LSE_Fr_RR_P_14_XXXXX.png;0;G_12oz_LSE_Fr_RR_P_14_XXXXX.png;;PepsiCo;Gatorade;;;2014;;;;;;;;;;;;;;;;;!!!No Tags Found!!!;
G_12oz_LSE_ML_BRY_Angle_P_14_12546;;VML;2014-11-21;;;Desktop/_To Bynder/Product Renders/GTQ/12 Oz/G_12oz_LSE_ML_BRY_Angle_P_14_12546.png;0;G_12oz_LSE_ML_BRY_Angle_P_14_12546.png;;PepsiCo;Gatorade;;;2014;;;;;;;;;;;;;;;;;!!!No Tags Found!!!;
G_12oz_LSE_ML_BRY_P_14_12546;;VML;2014-11-21;;;Desktop/_To Bynder/Product Renders/GTQ/12 Oz/G_12oz_LSE_ML_BRY_P_14_12546.png;0;G_12oz_LSE_ML_BRY_P_14_12546.png;;PepsiCo;Gatorade;;;2014;;;;;;;;;;;;;;;;;!!!No Tags Found!!!;
G_12oz_LSE_ML_CB_Angle_P_14_12206;;VML;2014-11-21;;;Desktop/_To Bynder/Product Renders/GTQ/12 Oz/G_12oz_LSE_ML_CB_Angle_P_14_12206.png;0;G_12oz_LSE_ML_CB_Angle_P_14_12206.png;;PepsiCo;Gatorade;;;2014;;;;;;;;;;;;;;;;;!!!No Tags Found!!!;
G_12oz_LSE_ML_CB_P_14_12206;;VML;2014-11-21;;;Desktop/_To Bynder/Product Renders/GTQ/12 Oz/G_12oz_LSE_ML_CB_P_14_12206.png;0;G_12oz_LSE_ML_CB_P_14_12206.png;;PepsiCo;Gatorade;;;2014;;;;;;;;;;;;;;;;;!!!No Tags Found!!!;
G_12oz_LSE_ML_FP_Angle_P_14_12247;;VML;2014-11-21;;;Desktop/_To Bynder/Product Renders/GTQ/12 Oz/G_12oz_LSE_ML_FP_Angle_P_14_12247.png;0;G_12oz_LSE_ML_FP_Angle_P_14_12247.png;;PepsiCo;Gatorade;;;2014;;;;;;;;;;;;;;;;;!!!No Tags Found!!!;
